"","synthetic_question","article_ids"
0,"Quelles sont les situations dans lesquelles l'avis de la commission de concertation est requis selon l'article donné de la loi statutaire belge ?",218
1,"Quels sont les modes de preuve de la filiation à l'égard d'une coparente prétendue selon cet article de la loi?",1115
2,"Quelles sont les conditions requises pour qu'une société de logement de service public puisse bénéficier de l'aide accordée par le Gouvernement pour l'acquisition et la démolition d'un bâtiment non améliorable en vue de la construction de logements ?",12053
3,"À quel moment les agents désignés peuvent-ils ordonner la destruction des marchandises abandonnées au Trésor en l'absence de réclamation d'un prétendant droit sur celles-ci?",15427
4,"Quelles sont les conséquences pour les actionnaires qui ont rempli les formalités pour être admis à une assemblée générale et qui envisagent d'assister à des assemblées générales ultérieures comportant les mêmes points d'ordre du jour ?",20302
5,"Quelles entités sont autorisées à créer des centres de coordination selon l'article de loi donné?",10530
6,"L'article 212, § 2 s'applique-t-il aux centres de planning qui ne sont pas agréés en vertu du Code wallon de l'Action sociale et de la Santé?",10242
7,"Quels sont les objectifs régionaux de développement territorial et d'aménagement du territoire définis par le schéma de développement du territoire pour la Wallonie?",12500
8,"Quels sont les missions de Bruxelles Environnement en ce qui concerne l'évaluation de la qualité de l'air ambiant selon l'article donné?",135
9,"Quel est le juge compétent pour les demandes en matière de saisies conservatoires et de voies d'exécution liées aux sûretés réelles mobilières et au registre des gages lorsque le domicile du constituant du gage est situé à l'étranger ou est inconnu?",4708
10,"Quelles actions doivent être menées en dehors du service résidentiel pour jeunes pour être considérées comme des journées de soutien du jeune ou de sa famille ?",8970
11,"Quelles sont les restrictions imposées au propriétaire d'un mur non mitoyen lorsqu'il souhaite pratiquer des jours ou fenêtres à fer maillé et verre dormant?",1600
12,"Quel est le grade minimum requis pour être considéré comme agent forestier selon l'article de loi donné?",3534
13,"Quel est le moyen de notification de la décision infligeant une amende administrative au contrevenant selon cet article de la loi?",15481
14,"Quelles sont les modalités de communication que le débiteur doit suivre envers les créanciers en cas de réorganisation judiciaire visant un accord collectif ou un transfert d'entreprise sous autorité judiciaire, selon l'article donné?",15759
15,"Quelles mesures peuvent être prises par le Roi en matière de transport par mer ou via les voies navigables en vue de l'exécution des obligations découlant des conventions internationales selon l'article donné ?",18785
16,"Quelle est la procédure pour l'enregistrement de l'audition selon l'article de loi cité ?",13366
17,"Quelles modalités doivent être respectées pour convoquer une assemblée générale en séance extraordinaire selon l'article statutaire donné ?",17380
18,"Quelles sont les personnes et instances compétentes pour mener une procédure disciplinaire à l'encontre des avocats dans le ressort de la cour d'appel de Bruxelles selon cet article de loi ?",4414
19,"Quelles sont les informations et engagements qui doivent figurer dans le protocole de droit collaboratif selon l'article donné?",6068
20,"Quelles sont les différentes étapes que les curateurs doivent suivre en ce qui concerne la vérification des créances lors de la procédure de faillite, telles que décrites dans l'article statutaire donné ?",15871
21,"Quelles circonstances peuvent permettre aux tribunaux de remplacer la peine de réclusion par un emprisonnement de trois mois au moins selon cet article de loi?",18041
22,"Quelles infractions sont concernées par les pouvoirs d'officier de police judiciaire, auxiliaire du procureur du Roi, tels que définis dans l'article XV.2 de la loi statutaire belge ?",15395
23,"Quelles sont les conditions que doit remplir une installation d'aération utilisée dans les locaux de travail, selon l'article de loi donné ?",21443
24,"Quelles conséquences juridiques entraîne l'insertion d'une clause résolutoire expresse dans un contrat en vertu de cet article de loi?",2535
25,"Quel est le délai de prescription pour le recouvrement de l'amende administrative selon cet article de loi?",3503
26,"Quelles sont les modalités d'affichage des listes de candidats dans une circonscription électorale selon l'article donné?",3036
27,"Quelles sont les circonstances dans lesquelles le conseiller en prévention-médecin du travail peut s'informer sur les absences des travailleurs pour raisons de santé, telles que mentionnées dans l'article donné?",21064
28,"Quelles peines peuvent entraîner la destitution des titres, grades, fonctions, emplois et offices publics en vertu de cet article de loi belge ?",6088
29,"Est-ce que le Gouvernement peut apporter des modifications au plan d'aménagement directeur après avoir reçu l'avis de la Commission régionale?",248
30,"Quelles sont les personnes qui doivent être consultées pour l'établissement du règlement particulier de chaque tribunal selon l'article de la loi statutaire?",3888
31,"Quelle est la durée de prescription des peines de police selon l'article en question ?",6165
32,"Quelles sont les conséquences si le Gouvernement ne se prononce pas dans le délai imparti sur l'adoption du plan de secteur selon l'article § 1er?",12619
33,"Quel est le destinaire du remboursement de la différence entre l'avance et l'indemnité accordée par jugement définitif selon cet article de loi?",16618
34,"Quelles sont les conditions et modalités fixées par le Gouvernement pour l'octroi de sa garantie pour les créances relatives au financement des opérations concernant les travaux de construction et de reconditionnement des hôpitaux et des établissements médico-sociaux mentionnés dans l'article?",10469
35,"Quels articles de la loi du 29 mars 1962 sont toujours applicables à la Région de Bruxelles-Capitale?",564
36,"Dans quelles circonstances le juge de paix peut-il désigner un expert pour participer à l'opération de bornage lorsque le propriétaire d'un bien contigu refuse de s'y engager conformément à l'article 38?",7168
37,"Quelles sont les finalités auxquelles les producteurs, les sociétés de gestion, les exploitants de station de liaison montante vers un satellite, les organismes de gestion collective, les organismes de radiodiffusion, les câblodistributeurs et les distributeurs de signaux sont tenus d'échanger des informations en vertu de l'article donné?",15151
38,"Quelle est la conséquence prévue par la loi pour une obligation contractée par l'un des époux à charge du patrimoine commun en cas de fraude des droits du conjoint, postérieurement à la demande en divorce ?",5484
39,"Quel est le cadre dans lequel le capitaine exerce sa compétence dans la lutte contre la piraterie à bord du navire, selon l'article de loi donné?",19102
40,"Quels types d'activités sont destinés à la zone d'activité économique mixte telle que définie dans l'article de loi?",12550
41,"Quel est le délai imparti à l'autorité compétente pour publier la décision concernant l'imposition d'une étude d'incidence dans le cadre d'une demande de permis?",11688
42,"Quelles sont les règles concernant la récidive en cas de condamnation antérieure prise en compte conformément à l'article 99bis ?",6139
43,"Quel est le montant maximal annuel brut des jetons de présence qu'un administrateur peut percevoir selon l'article donné?",18129
44,"Quels sont les critères techniques précisant l'étanchéité des infrastructures de stockage d'effluents d'élevage selon la loi ?",16491
45,"Quelles sont les conditions dans lesquelles les prestataires de services de paiement peuvent convenir avec leurs utilisateurs de services de paiement des dérogations spécifiques en ce qui concerne les opérations de paiement de montant limité selon l'article donné de la loi belge en question ?",14340
46,"Quelle est la base imposable pour la taxe sur les provisions mathématiques et techniques des contrats d'assurance mentionnés dans cet article de la loi belge ?",22375
47,"Quelle est la définition d'un ""incident de sûreté"" selon l'article de loi donné ?",19155
48,"Quelles informations peuvent être utilisées par les agents chargés de contrôler les autres législations pour l'exercice de leurs missions selon l'article donné?",15419
49,"Quelles sont les principales tâches et compétences du Collège des cours et tribunaux en ce qui concerne le bon fonctionnement de l'administration de la justice?",4011
50,"Quels sont les effets temporels de la séparation de biens judiciaire selon cet article de loi?",2324
51,"Qui peut se pourvoir en cassation selon l'article donné de la loi belge?",5372
52,"Quelles sont les peines prévues en cas de commission d'un crime ou délit envers un officier ministériel, un agent dépositaire de l'autorité ou de la force publique, ou toute autre personne ayant un caractère public, dans l'exercice ou à l'occasion de l'exercice de ses fonctions, selon l'article de loi donné ?",6400
53,"Quelle condition doit être remplie avant qu'un agent ne puisse être déclaré définitivement inapte pour cause de maladie, selon l'article 23, alinéa 1er, 2°, de l'arrêté royal mentionné ?",18577
54,"Quelle peine est prévue pour toute personne qui quitte le territoire national en vue de la commission ou de la contribution à la commission d'une infraction visée aux articles 137, 140 à 140quinquies et 141 selon l'article mentionné?",6249
55,"Est-ce que l'article 28 de la loi du 22 décembre 1986 relative aux intercommunales est toujours en vigueur?",17407
56,"Quelles sont les obligations du fournisseur en matière de remise de documents lors de la livraison d'EPI et avant leur mise en service, selon l'article de loi mentionné?",22156
57,"Quelles catégories de comptes doivent impérativement inclure les interventions financières selon l'article 623 de la loi statutaire donnée ?",7883
58,"Quelles autorités peuvent décider de soumettre le projet de plan ou programme à l'avis des commissions consultatives pendant la durée d'affichage de l'avis d'enquête publique?",11808
59,"Le ministère public a-t-il un rôle spécifique en ce qui concerne le fonctionnement des cours et tribunaux en Belgique?",3951
60,"Quelles sont les dispositions du Code d'instruction criminelle qui sont appliquées par analogie par les contrôleurs de la navigation lors des auditions et interrogatoires ?",19679
61,"Quelles responsabilités incombent à l'exploitant d'une zone contrôlée en ce qui concerne la protection radiologique des travailleurs extérieurs intervenant dans cette zone?",21789
62,"Quel est l'article applicable dans ce cas?",17559
63,"Quelles peines sont prévues pour celui qui tente de commettre l'infraction mentionnée à l'article du système informatique en question?",6693
64,"Quels critères le candidat conducteur de train doit-il démontrer pour prouver son aptitude psychologique sur le plan professionnel selon l'article de la loi statutaire belge donné?",3419
65,"Quelles sont les conditions pour qu'un centre de planning familial puisse exercer des activités en dehors de la zone de soins de son siège d'activités ?",10222
66,"Quelles sont les conditions requises pour qu'un Belge puisse entrer dans le Royaume sans carte d'identité, passeport ou titre de voyage belge, selon l'article de loi donné ?",2905
67,"Quelles conséquences légales entraîne le fait pour le preneur de renoncer d'avance au droit d'information prévu par l'article 242 de la loi?",867
68,"Quelles sont les obligations de l'administration communale envers les occupants des immeubles situés à proximité d'une demande de permis d'urbanisme?",13156
69,"Quelles sont les sanctions prévues pour une infraction à l'article 2.4.5.29 de la loi du 24 janvier 1977 relative à la protection de la santé des consommateurs en Belgique ?",19633
70,"Quel est l'organe chargé de représenter l'ordre dans les actes judiciaires et extrajudiciaires, et comment ces actes sont-ils accomplis selon l'article de loi donné ?",4462
71,"Quelles réparations sont à la charge de l'usufruitier selon cet article de loi?",1535
72,"Quel est le délai pour introduire un recours contre une décision d'attribution d'un logement par une commune ou un C.P.A.S.?",641
73,"Quelles sont les obligations du tiré lorsqu'il paie un chèque endossable selon cet article de droit statutaire belge ?",14735
74,"Quelles sont les conditions qui entraînent le doublement de la durée du congé d'adoption pour un agent accueillant un enfant mineur dans sa famille en vertu de l'article donné ?",18560
75,"Quelles autorités peuvent proposer l'inscription d'un bien à l'inventaire du patrimoine immobilier selon l'article donné ?",429
76,"Quelle est la sanction prévue pour un employeur qui ne respecte pas l'obligation de notification en cas d'exécution de travaux de construction, selon la loi du 6 avril 1960?",7030
77,"Si un requérant ne comprend pas la langue utilisée devant le bureau de première instance ou d'appel, quelle est la responsabilité de l'État en ce qui concerne les frais de l'interprète ?",4775
78,"Le rapport du Gouvernement au Parlement sur la mise en œuvre des dispositions du Chapitre mentionné concerne-t-il une année scolaire particulière ?",11399
