,Question,Article_Id,Article
0,Peut-on saisir tous mes revenus ?,22312,La taxe exigible est calculée sur le montant total des sommes réparties à titre de participation bénéficiaire pour l'année d'imposition.alinéa 2 abrogé
1,Peut-on saisir tous mes revenus ?,9531,"§ 1er. Le compte des variations du patrimoine est présenté sous forme de tableaux regroupant les éléments enregistrés dans les comptes ouverts.§ 2. Il comprend :1° les sommes représentant les accroissements d'actif et les diminutions de passif qui sont la contrepartie des dépenses imputées sur le budget;2° les plus-values et les autres augmentations d'actif constatées, en dehors de toute imputation budgétaire;3° les sommes représentant les diminutions d'actif ou les augmentations de passif qui sont la contrepartie des recettes imputées sur le budget;4° les moins-values, les dépréciations, les disparitions d'actif ou les accroissements de passif constatés en dehors de toute imputation budgétaire.§ 3. Les opérations sont récapitulées en groupant en colonnes différentes, celles qui font l'objet d'une imputation sur le budget et celles qui sont constatées, en dehors de toute imputation budgétaire.§ 4. La différence entre les accroissements et les diminutions forme le résultat de variations du patrimoine de l'année.Celui-ci, cumulé avec les résultats des années antérieures, forme le compte général des variations du patrimoine.§ 5. La comparaison du bilan de l'année avec celui de l'année précédente indique le résultat des variations du patrimoine du centre intervenues pendant l'année."
2,Peut-on saisir tous mes revenus ?,2247,"§ 1er. Sont communs :1. les revenus de l'activité professionnelle de chacun des époux, tous revenus ou indemnités en tenant lieu ou les complétant, ainsi que les revenus provenant de l'exercice de mandats publics ou privés; l'indemnité de préavis et autres prestations auxquelles a droit un époux en raison de la rupture de son contrat de travail, pour la part de celle-ci correspondant au délai de préavis qui court pendant le régime;2. les fruits, revenus, intérêts de leurs biens propres;3. les biens donnés ou légués aux deux époux conjointement ou à l'un d'eux avec stipulation que ces biens seront communs;4. l'indemnité payée à un époux en réparation d'un dommage, dans la mesure où cette indemnité vise à réparer son incapacité ménagère ou économique durant le régime;5. la valeur patrimoniale des parts ou actions de société visées à l'article 1401, § 1er, 5;6. la valeur patrimoniale des biens professionnels qui ont été acquis par un des époux avec des fonds communs, si le droit à ces biens professionnels est propre en vertu de l'article 1401, § 1er, 6;7. la valeur économique de la clientèle qui a été constituée pendant le régime par un des époux dans le cadre de l'exercice de sa profession ou de l'exploitation de son entreprise, si le droit à cette clientèle est propre en vertu de l'article 1401, § 1er, 7;8. la prestation d'assurance liée à un contrat d'assurance sur la vie individuel qui a été conclu par un des époux pendant le régime, lorsqu'elle est due à un des époux pendant le régime. Si la prestation est versée sous forme de capital, la totalité de son montant est commune. Si la prestation est payée sous la forme d'une rente, sont communs les montants de la rente payés pendant le régime ainsi que la réserve qui correspond aux rentes encore dues après la dissolution du régime.§ 2. Sont également communs tous les biens dont il n'est pas prouvé qu'ils sont propres à l'un des époux par application d'une disposition de la loi."
3,Peut-on saisir tous mes revenus ?,2296,"Sauf stipulation contraire dans le contrat de mariage, l'époux qui fait entrer dans le patrimoine commun une quotité de ses biens présents ou futurs sans les déterminer individuellement, conserve sur eux les pouvoirs de gestion que lui attribue l'article 1425."
4,Peut-on saisir tous mes revenus ?,2299,"Les biens faisant l'objet du préciput peuvent être saisis pour le payement des dettes communes, sauf, lorsque le préciput porte sur des biens en nature, le recours de l'époux bénéficiaire sur le reste du patrimoine commun.Pareil recours peut également être exercé en cas d'aliénation par un des époux d'un bien en nature, objet du préciput."
5,Peut-on saisir tous mes revenus ?,2277,"Il est dû récompense par le patrimoine commun a concurrence des fonds propres ou provenant de l'aliénation d'un bien propre qui sont entrés dans ce patrimoine, sans qu'il y ait eu emploi ou remploi et généralement toutes les fois qu'il a tiré profit des biens propres d'un époux."
6,Peut-on saisir tous mes revenus ?,2267,"Chaque époux a la gestion exclusive de son patrimoine propre, sans préjudice de l'article 215, § 1er.DISPOSITION COMMUNE A LA GESTION DES PATRIMOINES PROPRES ET COMMUNS."
7,Peut-on saisir tous mes revenus ?,2293,"Lorsque les époux conviennent qu'il y aura entre eux communauté universelle, ils font entrer dans le patrimoine commun tous leurs biens présents et futurs à l'exception de ceux qui ont un caractère personnel et des droits exclusivement, attachés à la personne.La communauté universelle supporte toutes les dettes."
8,Peut-on saisir tous mes revenus ?,1487,"Lorsque la chose reste en commun entre les propriétaires des matières dont elle a été formée, elle doit être licitée au profit commun."
9,Peut-on saisir tous mes revenus ?,2292,"§ 1er.Les époux peuvent convenir que tout ou partie des biens présents et futurs, meubles ou immeubles, visés à l'article 1399, feront partie du patrimoine commun.1§ 2. Les futurs époux qui, avant de contracter mariage, acquièrent la pleine propriété d'un bien immeuble, peuvent, pour autant qu'ils soient, suite à cette acquisition, propriétaires indivis exclusifs et par parts égales de ce bien, faire figurer une déclaration d'apport anticipé dans l'acte d'acquisition de propriété. Du simple fait de leur mariage, ce bien immeuble fera alors partie du patrimoine commun, comme s'ils avaient stipulé l'apport dans leur convention matrimoniale.Les époux peuvent déroger à l'alinéa 1er dans leur convention matrimoniale.§ 3. Les dettes en cours au moment de l'apport et qui ont été contractées par l'époux apporteur afin d'acquérir, d'améliorer ou de conserver les biens apportés sont à charge du patrimoine commun, sous réserve de convention contraire."
