query-id	corpus-id	score
557	931	1
708	4756	1
886	857	1
715	6545	1
696	4479	1
70	2128	1
169	1819	1
51	5891	1
409	1071	1
979	857	1
277	931	1
370	1374	1
716	6545	1
51	14475	1
709	4495	1
654	6502	1
529	2329	1
695	4764	1
51	5870	1
1095	6617	1
70	2142	1
566	22229	1
287	1140	1
714	6536	1
1019	4787	1
1079	21122	1
629	13901	1
578	1277	1
52	5926	1
710	4500	1
1024	1595	1
162	1695	1
687	4768	1
625	13877	1
277	1121	1
586	4833	1
165	1822	1
708	4483	1
596	5717	1
855	5572	1
109	4765	1
763	4787	1
628	13906	1
1050	4504	1
1022	7155	1
1050	4479	1
628	13907	1
161	1780	1
690	4492	1
15	12031	1
878	856	1
433	5153	1
757	12024	1
314	1055	1
1047	4791	1
970	7256	1
660	13250	1
682	4510	1
1023	1592	1
622	13870	1
1023	7157	1
706	4491	1
693	4478	1
687	4767	1
693	4493	1
413	2328	1
716	6544	1
862	5566	1
380	5415	1
829	12031	1
188	2328	1
71	4548	1
696	4510	1
143	5636	1
695	4755	1
109	4762	1
1022	1587	1
51	5884	1
703	4759	1
683	4505	1
780	12033	1
682	4748	1
687	4505	1
258	1276	1
52	14522	1
700	4761	1
697	4748	1
557	933	1
51	5875	1
777	12012	1
696	4506	1
241	1276	1
1057	937	1
256	1278	1
51	5872	1
455	2250	1
145	4589	1
683	4509	1
695	4484	1
83	5827	1
442	1275	1
660	13217	1
70	2154	1
895	2023	1
318	5462	1
1073	1407	1
891	2072	1
690	4757	1
1019	4797	1
1059	22226	1
667	7110	1
690	4753	1
858	5565	1
651	6106	1
682	4753	1
700	4765	1
9	2222	1
428	948	1
695	4752	1
682	4480	1
700	4501	1
250	1277	1
693	4504	1
320	4598	1
709	4491	1
208	18765	1
626	13876	1
71	4534	1
698	4495	1
710	4495	1
710	4490	1
159	1066	1
1073	1355	1
568	934	1
377	1377	1
1	1384	1
18	2220	1
792	5566	1
706	4479	1
557	1103	1
315	5711	1
667	6311	1
58	14531	1
90	5736	1
592	3820	1
51	14483	1
696	4484	1
162	1698	1
708	4486	1
968	5119	1
51	5899	1
699	4494	1
912	869	1
683	4488	1
1050	4485	1
577	1277	1
660	13225	1
690	4490	1
1050	4483	1
58	14523	1
690	4498	1
451	5470	1
714	6516	1
608	3820	1
1036	4676	1
51	5897	1
714	6525	1
143	4589	1
706	4484	1
166	1364	1
67	2841	1
715	6510	1
486	1079	1
968	5114	1
714	6547	1
707	4767	1
70	2136	1
1090	6464	1
705	4498	1
602	4788	1
599	4836	1
731	5566	1
1076	21118	1
624	13904	1
697	4767	1
186	1120	1
162	1692	1
589	4826	1
975	859	1
696	4487	1
202	6282	1
568	933	1
763	4792	1
705	4479	1
1019	4793	1
709	4770	1
52	5866	1
770	12024	1
248	1289	1
693	4506	1
695	4760	1
703	4752	1
1	1403	1
693	4756	1
687	4509	1
369	1384	1
705	4490	1
791	5562	1
833	5561	1
1065	4791	1
333	5486	1
855	6593	1
541	1011	1
332	1055	1
739	6593	1
700	4766	1
988	868	1
715	6540	1
61	14442	1
710	4497	1
67	2836	1
1080	21117	1
1060	22233	1
687	4499	1
586	4828	1
700	4485	1
492	5469	1
111	5973	1
588	4827	1
697	4758	1
162	1709	1
619	4537	1
698	4502	1
716	6518	1
99	5956	1
891	2511	1
703	4753	1
278	1153	1
249	1275	1
1069	21117	1
583	4791	1
690	4485	1
690	4480	1
683	4490	1
598	4831	1
856	5561	1
250	1280	1
574	1277	1
44	5561	1
695	4495	1
558	1094	1
611	5716	1
695	4490	1
709	4497	1
621	13877	1
566	22234	1
625	13869	1
572	1148	1
1101	22231	1
23	1150	1
162	1768	1
619	4539	1
272	933	1
690	4491	1
51	5881	1
710	4484	1
695	4509	1
71	4560	1
680	13430	1
555	1287	1
709	4505	1
1106	22233	1
951	836	1
946	611	1
706	4749	1
615	5080	1
855	5571	1
838	4787	1
1	1394	1
708	4481	1
1073	1423	1
682	4505	1
1076	21123	1
43	2844	1
239	4484	1
876	856	1
660	13212	1
1060	22230	1
687	4757	1
583	5132	1
531	2336	1
699	4489	1
975	2506	1
717	6718	1
628	13914	1
342	1055	1
162	1769	1
697	4766	1
667	6336	1
698	4480	1
599	4832	1
213	18761	1
1073	1403	1
321	5854	1
690	4507	1
135	4482	1
970	7251	1
1059	22229	1
850	838	1
388	4697	1
598	4834	1
1073	1414	1
857	5565	1
70	2150	1
552	1287	1
502	13430	1
591	5150	1
474	1097	1
705	4502	1
660	13270	1
690	4493	1
186	1118	1
158	1057	1
67	2788	1
1014	875	1
1079	21121	1
1068	21121	1
731	5567	1
754	12026	1
158	1771	1
763	4795	1
975	858	1
687	4480	1
306	1317	1
162	1721	1
109	4497	1
385	1811	1
329	5740	1
99	5955	1
95	2723	1
109	4509	1
552	1279	1
282	1096	1
626	13878	1
799	5561	1
196	1009	1
690	4762	1
832	5562	1
1	1366	1
109	4748	1
1073	1401	1
138	5953	1
448	5485	1
157	1708	1
703	4757	1
198	1023	1
1106	22232	1
290	1100	1
70	2146	1
451	5469	1
621	13879	1
1	1362	1
706	4770	1
73	4471	1
167	1835	1
1063	7247	1
308	1327	1
990	838	1
815	12031	1
807	4791	1
1021	4822	1
1073	1409	1
770	12026	1
706	4498	1
141	4589	1
158	1064	1
683	4749	1
194	1023	1
693	4753	1
330	1056	1
909	870	1
1024	1591	1
1101	22227	1
67	2835	1
555	1285	1
244	1276	1
216	18760	1
856	5565	1
162	1775	1
714	6534	1
698	4761	1
697	4483	1
703	4762	1
690	4766	1
693	4505	1
843	836	1
318	5454	1
700	4480	1
698	4507	1
660	13266	1
606	3986	1
266	1277	1
1101	22233	1
697	4505	1
1023	1588	1
714	6524	1
243	1282	1
598	4836	1
751	2503	1
57	14428	1
660	13253	1
588	4833	1
597	5152	1
1043	1059	1
376	5421	1
52	5922	1
715	6541	1
395	5152	1
546	5456	1
135	4489	1
241	1288	1
693	4503	1
703	4499	1
703	4755	1
159	1776	1
1023	5152	1
731	5562	1
1019	5561	1
1022	1594	1
97	10110	1
98	10113	1
109	4488	1
1083	6619	1
1050	4501	1
1	1395	1
613	5717	1
1073	1377	1
716	6528	1
87	5813	1
696	4481	1
73	4546	1
487	5456	1
1078	21115	1
744	5566	1
707	4753	1
703	4497	1
690	4770	1
1	1409	1
628	13909	1
698	4764	1
608	4885	1
557	1097	1
941	2037	1
287	1104	1
486	5456	1
552	1283	1
121	5152	1
1073	1411	1
708	4748	1
568	938	1
249	1276	1
682	4486	1
838	4790	1
552	1286	1
776	12021	1
158	1056	1
690	4758	1
855	4696	1
978	857	1
67	2810	1
683	4484	1
474	1110	1
1030	7166	1
73	4465	1
619	4528	1
732	5563	1
709	4508	1
1006	874	1
735	2844	1
624	13907	1
1069	21114	1
695	4496	1
683	4756	1
1050	4481	1
51	5889	1
1019	4795	1
683	4500	1
695	4753	1
619	4551	1
708	4479	1
