query-id	corpus-id	score
genQ1	1	1
genQ2	2	1
genQ3	3	1
genQ4	4	1
genQ5	5	1
genQ6	6	1
genQ7	7	1
genQ8	8	1
genQ9	9	1
genQ10	10	1
genQ11	11	1
genQ12	12	1
genQ13	13	1
genQ14	14	1
genQ15	15	1
genQ16	16	1
genQ17	17	1
genQ18	18	1
genQ19	19	1
genQ20	20	1
genQ21	21	1
genQ22	22	1
genQ23	23	1
genQ24	24	1
genQ25	25	1
genQ26	26	1
genQ27	27	1
genQ28	28	1
genQ29	29	1
genQ30	30	1
genQ31	31	1
genQ32	32	1
genQ33	33	1
genQ34	34	1
genQ35	35	1
genQ36	36	1
genQ37	37	1
genQ38	38	1
genQ39	39	1
genQ40	40	1
genQ41	41	1
genQ42	42	1
genQ43	43	1
genQ44	44	1
genQ45	45	1
genQ46	46	1
genQ47	47	1
genQ48	48	1
genQ49	49	1
genQ50	50	1
genQ51	51	1
genQ52	52	1
genQ53	53	1
genQ54	54	1
genQ55	55	1
genQ56	56	1
genQ57	57	1
genQ58	58	1
genQ59	59	1
genQ60	60	1
genQ61	61	1
genQ62	62	1
genQ63	63	1
genQ64	64	1
genQ65	65	1
genQ66	66	1
genQ67	67	1
genQ68	68	1
genQ69	69	1
genQ70	70	1
genQ71	71	1
genQ72	72	1
genQ73	73	1
genQ74	74	1
genQ75	75	1
genQ76	76	1
genQ77	77	1
genQ78	78	1
genQ79	79	1
genQ80	80	1
genQ81	81	1
genQ82	82	1
genQ83	83	1
genQ84	84	1
genQ85	85	1
genQ86	86	1
genQ87	87	1
genQ88	88	1
genQ89	89	1
genQ90	90	1
genQ91	91	1
genQ92	92	1
genQ93	93	1
genQ94	94	1
genQ95	95	1
genQ96	96	1
genQ97	97	1
genQ98	98	1
genQ99	99	1
genQ100	100	1
genQ101	101	1
genQ102	102	1
genQ103	103	1
genQ104	104	1
genQ105	105	1
genQ106	106	1
genQ107	107	1
genQ108	108	1
genQ109	109	1
genQ110	110	1
genQ111	111	1
genQ112	112	1
genQ113	113	1
genQ114	114	1
genQ115	115	1
genQ116	116	1
genQ117	117	1
genQ118	118	1
genQ119	119	1
genQ120	120	1
genQ121	121	1
genQ122	122	1
genQ123	123	1
genQ124	124	1
genQ125	125	1
genQ126	126	1
genQ127	127	1
genQ128	128	1
genQ129	129	1
genQ130	130	1
genQ131	131	1
genQ132	132	1
genQ133	133	1
genQ134	134	1
genQ135	135	1
genQ136	136	1
genQ137	137	1
genQ138	138	1
genQ139	139	1
genQ140	140	1
genQ141	141	1
genQ142	142	1
genQ143	143	1
genQ144	144	1
genQ145	145	1
genQ146	146	1
genQ147	147	1
genQ148	148	1
genQ149	149	1
genQ150	150	1
genQ151	151	1
genQ152	152	1
genQ153	153	1
genQ154	154	1
genQ155	155	1
genQ156	156	1
genQ157	157	1
genQ158	158	1
genQ159	159	1
genQ160	160	1
genQ161	161	1
genQ162	162	1
genQ163	163	1
genQ164	164	1
genQ165	165	1
