,synthetic_question,article_ids
0,Je travaille dans le secteur financier en Belgique. Les entreprises d'investissement visées dans la loi du 25 octobre 2016 doivent-elles respecter le présent chapitre de la loi en question ?,20015
1,Nous sommes en Belgique et nous voulons utiliser le service de médiation pour le consommateur pour résoudre un litige. Est-ce que le Service de médiation pour le consommateur est compétent pour traiter les litiges de consommation entre un consommateur et une entreprise belge?,5729
2,Je suis citoyen belge ayant un litige de consommation. Puis-je contacter le Service de médiation pour le consommateur gratuitement pour régler mon litige ?,11664
3,J'ai une entreprise qui vend des produits de consommation en France. Dois-je participer au règlement extrajudiciaire des litiges de consommation proposé par le Service de médiation pour le consommateur ?,8641
4,Vous avez un différend de consommation avec une entreprise en Belgique. Le Service de médiation pour le consommateur peut-il traiter gratuitement votre demande de règlement extrajudiciaire de litige de consommation ?,18739
5,"J'ai signé un bail pour un logement situé à Bruxelles-Capitale. Est-ce que l'acquéreur doit m'avertir s'il souhaite expulser le locataire en cas de vente, selon l'article mentionné ?",2519
6,"Si un époux ne contracte pas de dettes, peut-il être poursuivi pour les dettes de l'autre époux ? Doit-on payer les dettes de son conjoint si on n'a pas contracté de dettes soi-même ?",2256
7,"Je suis employé dans une entreprise qui traite des litiges de consommation. Doit-on suivre le traitement extrajudiciaire des litiges de consommation par le Service de médiation pour le consommateur en Belgique, comme stipulé dans le Code de Droit Economique ?",2283
8,Un colocataire informe les autres de son intention de sortir du bail. Les colocataires non sortants peuvent-ils refuser le colocataire remplaçant proposé pour des motifs raisonnables et justes ?,881
9,"Vous hébergez des colocataires à Bruxelles, l'un d'eux enfreint régulièrement les règles de la maison. Pouvez-vous mettre fin au bail de colocation avant l'échéance en raison de ces violations sans donner congé, conformément à la loi sur les baux en vigueur ?",2507
10,Le service de médiation est-il habilité à traiter un litige relatif à un achat en ligne ?,22316
11,Je travaille pour une entreprise qui distribue des participations bénéficiaires à ses employés. Les impôts sur les sommes réparties à titre de participation bénéficiaire sont-ils calculés sur le montant total pour l'année d'imposition en vertu de l'article donné ?,22312
12,Je possède un logement en Wallonie et je soupçonne qu'il est insalubre. Est-ce que la Société wallonne du Logement peut m'accorder de l'aide après avoir reçu le rapport de salubrité mentionné dans l'article 65?,12075
13,Vous êtes locataire d'un logement potentiellement insalubre en Wallonie. Est-ce que la Société wallonne du Logement peut conduire une inspection pour déterminer la qualité de salubrité de votre logement ?,12073
