,synthetic_question,article_ids
0,La commune envisage d'adopter un plan particulier d'affectation du sol. Est-ce que l'avis de la commission de concertation est obligatoire avant l'adoption de ce plan par la commune ?,218
1,La filiation d'un enfant est contestée par une personne prétendant être la coparente. Est-ce que la possession d'état est suffisante pour établir la filiation à l'égard de la coparente prétendue ou doit-il y avoir également un consentement à la procréation médicalement assistée conformément à la loi ?,1115
2,Une société de logement de service public souhaite acquérir un bâtiment pour le démolir et construire des logements. Est-ce que le gouvernement peut accorder une aide financière pour l'acquisition et la démolition du bâtiment en question ?,12053
3,Des marchandises ont été abandonnées au Trésor sans qu'aucune revendication ne soit formulée. Qui doit supporter les frais de conservation et de destruction des marchandises abandonnées au Trésor selon l'article XV.62 ?,15427
4,Je suis actionnaire d'une société et j'ai rempli les formalités pour assister à une assemblée générale. Suis-je automatiquement admis à toutes les assemblées générales ultérieures comportant les mêmes points à l'ordre du jour si je ne cède pas mes actions ?,20302
5,Une municipalité envisage d'établir un nouveau centre de coordination pour aider les personnes âgées de la région. Quelles entités ont le pouvoir de créer légalement des centres de coordination selon la loi ?,10530
6,"Un centre de planning agréé déménage dans de nouveaux locaux. L'article 212, § 2, s'applique-t-il à ce déménagement en vertu du Code wallon de l'Action sociale et de la Santé ?",10242
7,Un plan de développement territorial est en cours d'élaboration pour la Wallonie. Est-ce que le schéma de développement du territoire peut comporter des mesures de gestion spécifiques liées à la maîtrise de la mobilité dans la région ?,12500
8,Je suspecte que la pollution intérieure de mon lieu de travail affecte ma santé. Bruxelles Environnement peut-elle réaliser un diagnostic de la pollution intérieure sur demande individuelle sans nécessiter l'intervention d'un médecin?,135
9,Je souhaite déposer une demande en matière de saisie conservatoire en Belgique. Dois-je obligatoirement saisir le juge du lieu de la saisie pour cette procédure ?,4708
10,Un jeune placé en service résidentiel bénéficie de journées de soutien de son service. Le service peut-il déclarer plus de cent-quatre-vingts journées de soutien par jeune lors de son retour dans sa famille ?,8970
11,J'ai une propriété avec un mur non mitoyen le long de la propriété voisine. Ai-je le droit d'installer des fenêtres dans ce mur sans consulter le voisin propriétaire de l'héritage adjacent ?,1600
12,Un individu est employé en tant que garde général dans un cadre forestier. Peut-il être suspendu par le ministre pour une période maximale d'un an ?,3534
13,Un particulier a commis une infraction passible d'une amende administrative. Comment la décision d'infliction de l'amende est-elle notifiée au contrevenant selon la loi ?,15481
14,Une entreprise souhaite effectuer une réorganisation judiciaire suite à des difficultés financières. Les communications aux créanciers doivent-elles être réalisées par voie électronique ou y a-t-il une alternative en cas d'impossibilité de recevoir des avis électroniques ?,15759
15,Une compagnie de navigation belge doit se conformer à une obligation internationale. Le Roi peut-il prendre des mesures pour assurer que la compagnie de navigation respecte les obligations découlant des conventions internationales sur le transport par mer et voies navigables ?,18785
16,Un suspect a été interrogé dans le cadre d'une affaire criminelle et l'audition a été enregistrée. Est-il autorisé de faire des copies des enregistrements audiovisuels de l'audition pour des besoins spécifiques tels que la retranscription ou l'expertise ?,13366
17,Une entreprise doit convoquer des assemblées générales annuelles. Est-ce que les membres de l'entreprise ont le droit de demander l'ajout d'un point à l'ordre du jour de l'assemblée générale ?,17380
18,Un avocat francophone de Bruxelles est accusé de faute professionnelle. Est-ce le conseil de discipline des Ordres francophones ou néerlandophones qui sera compétent pour traiter cette affaire ?,4414
19,"Les parties sont sur le point de s'engager dans une négociation collaborative dans un litige. Est-il obligatoire pour les parties de suspendre toute procédure contentieuse pendant la durée de la négociation collaborative, selon le protocole de droit collaboratif prévu par la loi ?",6068
20,Une entreprise a été déclarée en faillite en Belgique. Les curateurs ont déjà déposé des procès-verbaux de vérification. Est-ce que les curateurs peuvent contester des créances et soumettre ces contestations au tribunal pendant le processus de faillite ?,15871
21,Un individu a été reconnu coupable d'un crime et des circonstances atténuantes ont été mises en évidence. Les tribunaux ont-ils le pouvoir de remplacer la réclusion par un emprisonnement d'au moins trois mois en vertu de cet article ?,18041
22,Des agents désignés par le Roi ont des pouvoirs spécifiques. Les agents désignés par le Roi en tant qu'officier de police judiciaire peuvent-ils exercer leurs pouvoirs pour enquêter sur des infractions spécifiques conformément à l'article XV.2 du Code pénal ?,15395
23,Vous êtes employé dans un bureau et l'entreprise utilise un système de ventilation mécanique. L'entreprise est-elle obligée de garantir que le système de ventilation répond aux critères spécifiques énoncés dans l'article?,21443
24,Deux parties ont inclus une clause résolutoire expresse dans leur contrat. Est-ce que cette clause est considérée comme nulle et non avenue en vertu de la loi?,2535
