,synthetic_question,article_ids
0,Je suis employé par une entreprise belge. Quelles sont les infractions punies en cas de travail de nuit selon la loi du 16 mars 1971 sur le travail en Belgique ?,7024
1,"En tant que travailleur posté, je crains pour ma sécurité lors de l'exercice de mon activité professionnelle. Est-ce que les travailleurs postés sont considérés comme des travailleurs à risque en vertu de la loi ?",22179
2,Un employeur demande à un travailleur de réaliser des prestations de nuit pour moins de six heures de travail. L'employeur encourt-il une sanction s'il fait travailler le travailleur dans ces conditions selon l'article de la loi?,7026
3,Une entreprise souhaite mettre en place un horaire de travail posté pour ses employés. Est-ce que la loi définit clairement ce qu'est un travail posté et qui est considéré comme un travailleur posté ?,22176
4,Je suis un employé qui travaille de 9 heures à 16 heures. Est-il autorisé pour moi de prendre partiellement d'autres occupations que l'enseignement ou la médecine pendant ces heures de travail ?,9584
5,Je suis un jeune travailleur dans une entreprise en Belgique. Mon employeur peut-il me faire travailler sans m'accorder les intervalles de repos prévus par la loi entre deux périodes de travail ?,7014
6,Un employé a travaillé un jour de repos supplémentaire qui suit immédiatement un dimanche. Est-il obligatoire pour l'employeur de lui accorder un repos compensatoire après avoir travaillé dans ces conditions ?,7011
7,Mon employeur instaure des prestations de travail de nuit. Est-ce que mon employeur doit consulter les représentants des travailleurs avant de mettre en place des horaires de travail de nuit selon la loi du 16 mars 1971 sur le travail ?,7025
8,Je travaille dans un environnement où la pression atmosphérique dépasse 1.200 hectopascals. Suis-je légalement en droit de bénéficier d'une période de repos hebdomadaire ininterrompue de 48 heures selon la loi ?,21765
9,Je suis un employé à temps partiel. Est-ce que je peux demander un traitement équitable en termes de congés payés par rapport à un employé à temps plein en vertu de cet article ?,18391
10,Mon parent a été déclaré incapable en vertu de l'article 492/1 du Code civil. Les dispositions du chapitre sur les partages s'appliquent-elles aux partages impliquant des personnes déclarées incapables en vertu de l'article 492/1 du Code civil ?,5337
11,Je suis en désaccord avec le représentant légal de mon enfant mineur sur le retrait de sommes inscrites sur son livret d'épargne. Est-ce que je peux demander l'intervention du juge de paix pour résoudre ce différend ?,4649
12,Mon enfant mineur non émancipé a un livret d'épargne. Est-ce que le juge de paix peut retirer les sommes inscrites au livret d'épargne de mon enfant sans mon consentement en tant que représentant légal ?,4650
13,Une entreprise a fait faillite et je suis l'un des créanciers concernés. Est-ce que mes données personnelles en tant que créancier seront enregistrées dans le registre conjointement géré par l'Ordre des Barreaux francophones et germanophone et l'Orde van Vlaamse Balies ?,15725
14,Je suis titulaire de comptes-titres en indivision avec d'autres co-bénéficiaires. Suis-je autorisé à reprendre ma part dans l'indivision pour déclarer et payer la taxe sur ces comptes-titres en Belgique ?,22288
15,Je suis en train de poursuivre une procédure au tribunal de la famille suite à un litige financier avec mon conjoint. Est-ce que le tribunal peut ordonner à mon conjoint et à des tiers de fournir des informations sur nos revenus et créances lors de cette procédure?,5463
16,Je suis en Belgique et je demande une allocation. Est-ce que l'organisme assureur peut collecter des informations directement auprès d'autres institutions pour évaluer ma demande d'allocation sans ma permission ?,7270
17,Je demande un budget d'assistance personnelle. Les revenus de mes représentants légaux sont-ils pris en compte pour déterminer mon éligibilité à ce budget ?,8104
18,Une société coopérative est en processus de liquidation. Est-ce que le montant prévu à l'article 14:42 peut être reversé aux actionnaires ou distribué de quelque manière que ce soit pendant la liquidation ?,20823
19,"J'ai commis une infraction environnementale. Est-il possible de régler cette infraction par le biais d'une transaction conformément à l'article D.159, § 1er du Livre Ier du Code de l'Environnement ?",11304
20,Je cherche à louer un logement en Wallonie. Quelles informations doivent être fournies en matière d'accès au logement selon la loi en Wallonie ?,810
21,Je vais déménager dans un nouvel appartement en Communauté germanophone. Quelles sont les conditions requises pour qu'un logement soit considéré comme un habitat durable selon le Code ?,12013
22,Je suis une personne vivant en Région de Bruxelles-Capitale et je cherche à louer un logement social. Quelles sont les entités autorisées à donner en location des logements locatifs modérés en vertu de la politique régionale de mise à disposition de logements de la Région de Bruxelles-Capitale ?,611
23,Un promoteur prévoit d'effectuer des travaux pour augmenter la capacité d'accueil d'une école secondaire à Bruxelles. Est-ce que les règles du chapitre IIIbis du Code bruxellois de l'aménagement du territoire s'appliquent aux demandes de permis d'urbanisme pour ces travaux ?,411
24,Ma famille souhaite bénéficier des dispositions de l'article 146 du présent Code en construisant un logement. Devons-nous occuper personnellement le logement construit pendant combien d'années pour respecter les conditions légales ?,759
25,Je suis propriétaire d'une entreprise en Wallonie et je prévois de réaliser un projet de construction. Ai-je besoin d'obtenir un permis pour ce projet en vertu de la législation applicable dans la région ?,11819
26,Je souhaite bénéficier d'une aide financière pour la construction d'un logement en Belgique. Qui fixe les conditions d'octroi des aides pour la construction de logements en Belgique selon l'article de loi donné ?,790
27,J'habite dans une habitation déclarée inhabitable par le bourgmestre. Suis-je passible d'une amende pénale si je permets à quelqu'un de résider dans cette habitation malgré l'interdiction d'accès ?,12287
28,"Je suis un employeur avec cinq travailleurs ou moins. Puis-je utiliser les équipements sociaux de mon habitation pour mes employés, selon la loi ?",21453
29,Je souhaite ouvrir un nouvel établissement présentant un risque d'accident majeur au sens du décret relatif au permis d'environnement en Wallonie. Est-il possible que mon permis soit refusé ou subordonné à des conditions particulières de protection en raison de la localisation du projet à proximité d'une réserve naturelle ou d'une zone urbanisée ?,12819
30,Je suis une personne handicapée participant à un programme de réadaptation professionnelle. Puis-je demander le remboursement de mes frais de déplacement et de séjour pour une même journée pendant ma participation au programme ?,8641
31,Je suis un employé qui doit souvent voyager pour des besoins professionnels. Est-ce que mon employeur est tenu d'intervenir pour couvrir les frais de mes déplacements professionnels conformément à l'article mentionné ?,18687
32,Un individu handicapé suit un programme de formation professionnelle dans le cadre de son processus de réadaptation. Les frais de formation professionnelle sont-ils pris en charge en vertu de la loi?,8666
33,"Vous êtes un témoin dans une affaire judiciaire et vous devez vous déplacer pour témoigner. Avez-vous droit à une indemnité de voyage en tant que bénéficiaire se déplaçant pour témoigner en justice, selon l'article de loi donné ?",18712
34,Je fais appel d'une décision administrative devant la commission de recours. Est-ce que les membres de la commission de recours ont droit à une rémunération pour leur participation et à un remboursement de leurs frais de déplacement ?,11664
35,J'entame une procédure de réouverture par requête. Est-ce que l'État prend en charge les frais de procédure dans ce cas ?,13718
36,"Vous êtes un agent d'une organisation publique en Belgique. Vous êtes en processus de réintégration après un congé maladie. Est-ce que la prise en charge pendant le trajet de réintégration est assurée par la Région ou l'organisme d'intérêt public qui est votre employeur, conformément aux articles 523 à 527 ?",18703
37,Mon enfant handicapé doit se déplacer pour des rendez-vous médicaux. L'AWIPH peut-elle rembourser les frais de déplacement et de séjour liés aux mesures prises pour mon enfant en situation de handicap ?,8626
38,Je suis directeur d'un centre de réadaptation de catégorie III. Quelle est la limitation concernant l'admission en réadaptation dans mon établissement selon la loi ?,8327
39,J'ai un handicap et je dois me rendre à un lieu pour ma formation professionnelle. Est-ce que les frais de déplacement et de séjour seront remboursés en conformité avec la sous-section mentionnée dans l'article de loi?,8640
40,Je suis responsable d'un CPAS en Belgique. Est-ce que le financement du CPAS pour l'année 2004 est basé à la fois sur le nombre de bénéficiaires du droit à l'intégration sociale et sur le nombre de compteurs d'eau au réseau public de distribution ?,16985
41,J'ai demandé une copie d'un document officiel auprès d'une autorité compétente. Dois-je payer des frais pour obtenir une copie conformément à l'article 879 de la loi ?,4972
42,J'ai reçu une indemnité pour perte de superficie. Est-ce que le Comité subrégional doit établir un compte avec le solde créditeur ou débiteur résultant de cette indemnité ?,11249
43,Je suis un stagiaire ayant été licencié. Comment est composée la commission de recours en matière de stage selon l'article 32 de l'arrêté mentionné ?,9572
44,Vous êtes convoqué(e) en tant que témoin dans une affaire judiciaire en Belgique. Est-il prévu le paiement d'une taxe des témoins pour votre déposition et qui détermine les modalités de son paiement ?,5046
45,Un membre du personnel communal est suspendu préventivement suite à des poursuites pénales. Est-ce que la suspension préventive peut inclure une retenue de traitement et une privation des titres à l'avancement selon l'article de la loi cité ?,17207
46,J'ai été licencié et j'ai déposé un recours contre mon licenciement. Qui est autorisé à siéger au sein de la commission de recours en matière de stage d'après l'article 32 de l'arrêté en question ?,9606
47,Je suis un fonctionnaire de l'OCSC impliqué dans la saisie de biens. Puis-je décider de l'aliénation des biens saisis sans autorisation d'un magistrat EPE ?,13777
48,Je suis tuteur légal d'un jeune belge en situation de handicap. Est-ce que le nombre de dossiers minimum requis pour bénéficier de certaines mesures est impacté si l'AWIPH ne recommande pas un accompagnement pour ce jeune ?,8002
49,"En tant qu'employeur d'une entreprise de travaux sous-marins, je prévois l'utilisation d'un caisson à air comprimé. Quels sont les compartiments obligatoires qu'un caisson à air comprimé doit comporter selon la loi ?",21771
50,Un mineur émancipé gère ses propres revenus et baux. Est-ce que le mineur émancipé peut conclure des baux d'une durée supérieure à neuf ans selon l'article de loi donné ?,1348
51,"J'ai un bail d'habitation en Belgique. Si je ne reçois pas de notification de résiliation de bail au moins six mois avant la fin du terme, mon bail sera-t-il automatiquement renouvelé pour une durée de trois ans ?",859
52,Un jeune de 16 ans souhaite travailler à temps partiel en Belgique. Est-ce légal pour un mineur de moins de dix-huit ans de conclure un contrat de travail à temps partiel en vertu des dispositions du livre II ?,6175
53,J'ai utilisé une servitude sur une propriété depuis plusieurs années. À partir de quel moment les trente ans commencent-ils à courir pour que je puisse revendiquer cette servitude en vertu de la loi statutaire donnée ?,1632
54,Ma fille mineure réside en Belgique. Comment est régie l'autorité parentale et la protection de ma fille qui a moins de dix-huit ans selon la loi applicable en la matière ?,15987
55,Un mineur de 17 ans souhaite signer un contrat de location pour un logement à Bruxelles. Est-il légalement autorisé à conclure un tel bail en vertu de l'article de la loi statutaire belge donnée ?,1354
56,Une personne de 19 ans vit avec son parent qui est le locataire du logement. Est-ce que cette personne de 19 ans est considérée comme locataire au sens de la présente section de la loi ?,690
